"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","19722","0","0","0","0","0","0","19722","18470","0","0","0","0","0","0","18470","38192"
"16","19206","1","1","0","0","0","0","19208","18434","2","2","0","0","0","0","18438","37646"
"17","19421","0","3","0","0","0","0","19424","18288","4","1","0","0","0","0","18293","37717"
"18","20398","5","2","0","0","0","0","20405","18814","24","0","0","0","0","0","18838","39243"
"19","20515","21","0","0","0","0","0","20536","18192","133","2","0","0","0","0","18327","38863"
"20","21212","31","2","0","1","0","0","21246","18339","258","1","0","0","0","0","18598","39844"
"21","20736","60","3","0","0","0","0","20799","18381","476","9","0","0","0","0","18866","39665"
"22","20542","145","0","2","7","0","0","20696","17692","706","4","1","1","0","0","18404","39100"
"23","20279","230","4","1","5","0","0","20519","17572","997","15","1","3","0","0","18588","39107"
"24","20139","342","12","1","2","0","0","20496","17421","1547","21","5","1","0","0","18995","39491"
"25","20029","664","17","0","2","0","0","20712","17086","2157","31","3","5","1","0","19283","39995"
"Total","222199","1499","44","4","17","0","0","223763","198689","6304","86","10","10","1","0","205100","428863"
