"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","3997","0","0","0","0","0","0","3997","3625","0","0","0","0","0","0","3625","7622"
"16","3889","0","0","0","0","0","0","3889","3755","0","0","0","0","0","0","3755","7644"
"17","3900","0","0","0","0","0","0","3900","3643","1","0","0","0","0","0","3644","7544"
"18","3964","0","0","0","0","0","0","3964","3802","1","0","0","0","0","0","3803","7767"
"19","4187","1","0","0","0","0","0","4188","3560","22","0","0","0","0","0","3582","7770"
"20","4230","5","0","0","0","2","0","4237","3595","47","0","0","1","0","0","3643","7880"
"21","4139","5","0","0","0","0","0","4144","3618","66","0","0","0","0","0","3684","7828"
"22","4127","18","1","0","0","0","0","4146","3593","138","0","0","0","0","0","3731","7877"
"23","4071","54","0","0","1","0","0","4126","3589","184","1","0","0","0","0","3774","7900"
"24","4026","66","0","0","0","0","0","4092","3538","277","0","0","0","0","0","3815","7907"
"25","4087","127","2","0","0","0","0","4216","3536","380","4","0","1","0","0","3921","8137"
"Total","44617","276","3","0","1","2","0","44899","39854","1116","5","0","2","0","0","40977","85876"
