"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","7124","0","0","0","0","0","0","7124","6635","0","0","0","0","0","0","6635","13759"
"16","6936","0","0","0","0","0","0","6936","6593","0","0","0","0","0","0","6593","13529"
"17","7129","0","0","0","0","0","0","7129","6738","1","0","0","0","0","0","6739","13868"
"18","7588","0","0","0","0","0","0","7588","6843","5","0","0","0","0","0","6848","14436"
"19","7833","1","1","0","0","0","0","7835","6683","8","0","0","0","0","0","6691","14526"
"20","7656","3","0","0","0","0","0","7659","6531","23","0","0","0","0","0","6554","14213"
"21","7660","9","0","1","0","0","0","7670","6627","49","1","0","1","0","0","6678","14348"
"22","7815","21","0","0","1","0","0","7837","6674","85","0","0","0","0","0","6759","14596"
"23","7968","44","1","0","2","0","0","8015","6803","151","0","1","0","0","0","6955","14970"
"24","7948","78","1","0","1","0","0","8028","6942","239","1","0","0","0","0","7182","15210"
"25","8006","106","0","0","0","0","0","8112","7166","392","4","0","1","0","0","7563","15675"
"Total","83663","262","3","1","4","0","0","83933","74235","953","6","1","2","0","0","75197","159130"
