"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","25978","0","0","0","0","0","0","25978","24659","0","0","0","0","0","0","24659","50637"
"16","26126","0","0","0","0","0","0","26126","24704","2","0","0","0","0","0","24706","50832"
"17","27177","2","0","0","0","0","0","27179","25049","4","0","0","0","0","0","25053","52232"
"18","28793","8","0","0","0","0","0","28801","25263","67","0","0","0","0","0","25330","54131"
"19","29182","28","0","1","0","0","0","29211","25889","217","0","0","0","0","0","26106","55317"
"20","28402","52","0","0","0","0","0","28454","25295","510","0","0","0","0","0","25805","54259"
"21","28188","155","0","0","2","0","0","28345","25122","841","2","0","1","0","0","25966","54311"
"22","28024","296","3","0","0","0","0","28323","25132","1260","4","0","0","0","0","26396","54719"
"23","27906","558","2","0","0","0","0","28466","24774","1993","7","2","1","0","0","26777","55243"
"24","28312","890","1","0","2","0","0","29205","24500","2904","14","4","3","0","0","27425","56630"
"25","28357","1514","5","3","2","0","0","29881","24335","4232","36","5","4","0","0","28612","58493"
"Total","306445","3503","11","4","6","0","0","309969","274722","12030","63","11","9","0","0","286835","596804"
