"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","20838","0","0","0","0","0","0","20838","19620","0","0","0","0","0","0","19620","40458"
"16","20486","0","0","0","0","0","0","20486","19008","0","0","0","0","0","0","19008","39494"
"17","20703","1","0","0","0","0","0","20704","19111","0","0","0","0","0","0","19111","39815"
"18","20764","5","0","0","0","0","0","20769","19115","26","0","0","0","0","0","19141","39910"
"19","21497","20","1","0","0","0","0","21518","19165","142","1","0","0","0","0","19308","40826"
"20","21025","48","2","6","0","0","0","21081","18737","303","4","0","3","0","0","19047","40128"
"21","21681","99","0","3","0","0","0","21783","18104","578","5","0","0","0","0","18687","40470"
"22","21181","161","3","1","3","0","0","21349","18270","868","3","1","2","0","0","19144","40493"
"23","20840","276","4","1","2","0","0","21123","17993","1279","11","1","2","0","0","19286","40409"
"24","20694","510","7","0","5","0","0","21216","17332","1774","30","1","4","0","0","19141","40357"
"25","20640","717","13","1","3","0","0","21374","17396","2417","30","2","2","1","0","19848","41222"
"Total","230349","1837","30","12","13","0","0","232241","203851","7387","84","5","13","1","0","211341","443582"
