"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","5943","0","0","0","0","0","0","5943","5586","0","0","0","0","0","0","5586","11529"
"16","5856","1","0","0","0","0","0","5857","5404","0","0","0","0","0","0","5404","11261"
"17","5783","0","0","0","0","0","0","5783","5381","0","0","0","0","0","0","5381","11164"
"18","6042","0","0","0","0","0","0","6042","5445","9","0","0","0","0","0","5454","11496"
"19","6056","4","0","0","0","0","0","6060","5677","34","1","0","0","0","0","5712","11772"
"20","6084","9","0","0","0","0","0","6093","5601","86","0","0","0","0","0","5687","11780"
"21","6115","22","0","0","0","0","0","6137","5640","150","1","0","0","0","0","5791","11928"
"22","6182","48","0","0","0","0","0","6230","5486","197","1","0","0","0","0","5684","11914"
"23","6050","87","1","0","2","0","0","6140","5436","302","2","1","0","0","0","5741","11881"
"24","5937","127","1","0","0","0","0","6065","5086","447","5","0","0","0","0","5538","11603"
"25","5825","209","5","1","3","0","0","6043","5132","591","7","0","0","0","0","5730","11773"
"Total","65873","507","7","1","5","0","0","66393","59874","1816","17","1","0","0","0","61708","128101"
