"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","20476","1","0","0","0","0","0","20477","19790","0","0","0","0","0","0","19790","40267"
"16","20733","0","0","0","0","0","0","20733","19864","1","0","0","0","0","0","19865","40598"
"17","20852","0","0","0","0","0","0","20852","19916","3","0","0","0","0","0","19919","40771"
"18","21744","1","0","1","0","0","0","21746","20283","16","0","0","0","0","0","20299","42045"
"19","22243","8","0","0","0","0","0","22251","20811","64","0","0","1","0","0","20876","43127"
"20","22645","16","0","0","1","0","0","22662","20326","151","0","0","1","0","0","20478","43140"
"21","22533","59","0","0","1","0","0","22593","20272","286","1","1","0","0","0","20560","43153"
"22","22340","94","2","0","0","0","0","22436","20106","482","1","0","0","0","0","20589","43025"
"23","22163","188","2","1","3","0","0","22357","20092","777","5","4","1","0","0","20879","43236"
"24","21959","339","3","0","2","0","0","22303","19536","1211","10","2","2","0","0","20761","43064"
"25","21801","543","6","0","2","0","0","22352","19090","1808","10","5","1","0","0","20914","43266"
"Total","239489","1249","13","2","9","0","0","240762","220086","4799","27","12","6","0","0","224930","465692"
