"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","17135","0","0","0","0","0","0","17135","16009","0","0","0","0","0","0","16009","33144"
"16","16743","0","0","0","0","0","0","16743","15604","0","1","0","0","0","0","15605","32348"
"17","16905","0","0","0","0","0","0","16905","15680","4","0","0","0","0","0","15684","32589"
"18","16888","1","0","0","0","0","0","16889","15735","21","2","0","0","0","0","15758","32647"
"19","17334","6","0","0","0","0","0","17340","15738","97","0","0","0","0","0","15835","33175"
"20","17216","18","1","0","0","0","0","17235","15096","169","1","0","2","0","0","15268","32503"
"21","17698","32","1","0","0","0","0","17731","15185","357","1","0","0","0","0","15543","33274"
"22","17373","71","3","0","0","1","0","17448","15091","512","2","0","1","0","0","15606","33054"
"23","17155","158","3","2","2","0","0","17320","15004","747","5","1","2","1","0","15760","33080"
"24","16863","245","6","1","3","0","0","17118","14576","1081","16","1","2","0","0","15676","32794"
"25","16613","413","7","1","3","0","0","17037","14691","1333","16","2","2","0","0","16044","33081"
"Total","187923","944","21","4","8","1","0","188901","168409","4321","44","4","9","1","0","172788","361689"
