"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","3957","0","0","0","0","0","0","3957","3785","1","0","0","0","0","0","3786","7743"
"16","4016","0","0","0","0","0","0","4016","3640","0","0","0","0","0","0","3640","7656"
"17","3906","0","0","0","0","0","0","3906","3762","0","0","0","0","0","0","3762","7668"
"18","3949","0","0","0","0","0","0","3949","3649","2","0","0","0","0","0","3651","7600"
"19","3993","2","0","0","0","0","0","3995","3810","20","0","0","0","0","0","3830","7825"
"20","4193","8","0","0","0","0","0","4201","3579","37","1","0","0","0","0","3617","7818"
"21","4233","8","0","0","0","1","0","4242","3586","84","0","0","1","0","0","3671","7913"
"22","4143","17","0","0","0","0","0","4160","3603","105","0","0","0","0","0","3708","7868"
"23","4137","28","3","0","0","0","0","4168","3568","180","0","0","0","0","0","3748","7916"
"24","4043","86","1","0","1","0","0","4131","3547","227","2","0","0","0","0","3776","7907"
"25","4003","94","0","0","0","0","0","4097","3494","355","1","0","1","0","0","3851","7948"
"Total","44573","243","4","0","1","1","0","44822","40023","1011","4","0","2","0","0","41040","85862"
