,Unnamed: 0.1,Unnamed: 0_x,Region code,Region_x,Population_x,Time_x,TIPO_DATO_AVQ,Value_x,Percentage,Region_y,Live_births,Miscarriages,Abortions,Total,Time_y,Unnamed: 0_y,Region,Females,Time,Age range_GENERAL,Population_y,Value_y,Female Early Leavers
0,1,1,ITC1,Piemonte,8657130,2018,6_WEEK_RELIG,797,9.206284299762162,Piemonte,1.235494880546075,0.1238420282788883,0.3890784982935154,1.7484154071184788,2018,0,Piemonte,4451082,2018,18-24,8657130,11.5,5.912749721905527
1,3,3,ITC2,Valle d'Aosta / Vallée d'Aoste,251306,2018,6_WEEK_RELIG,20,7.958425186824031,Valle d'Aosta / Vallée d'Aoste,1.16580310880829,0.1214378238341968,0.2509715025906736,1.5382124352331603,2018,1,Valle d'Aosta / Vallée d'Aoste,128364,2018,18-24,251306,13.6,6.946711976634063
2,4,4,ITC3,Liguria,3065960,2018,6_WEEK_RELIG,282,9.1977716604261,Liguria,1.3114466804918656,0.0226363291176212,0.4366620907205654,1.7707451003300525,2018,2,Liguria,1598874,2018,18-24,3065960,12.6,6.570800793226264
3,6,6,ITC4,Lombardia,20021666,2018,6_WEEK_RELIG,2371,11.842171375748652,Lombardia,1.2565525127024133,0.0772008793049303,0.3264177986778217,1.6601711906851653,2018,3,Lombardia,10217264,2018,18-24,20021666,9.9,5.052072769568727
4,8,8,ITD3,Veneto,9769180,2018,6_WEEK_RELIG,1155,11.82289608749148,Veneto,1.1747187293183323,0.1706994237381156,0.2306258171780923,1.57604397023454,2018,4,Veneto,4987384,2018,18-24,9769180,10.6,5.411536116644386
5,11,11,ITD4,Friuli-Venezia Giulia,2420828,2018,6_WEEK_RELIG,237,9.79003878011986,Friuli-Venezia Giulia,1.1923932907521668,0.2153183635804368,0.2922177791448785,1.699929433477482,2018,5,Friuli-Venezia Giulia,1243502,2018,18-24,2420828,6.9,3.544309550286101
6,13,13,ITD5,Emilia-Romagna,8918906,2018,6_WEEK_RELIG,836,9.373346910484312,Emilia-Romagna,1.3786019094980488,0.1701651730212598,0.381851608288892,1.9306186908082008,2018,6,Emilia-Romagna,4579612,2018,18-24,8918906,9.1,4.672598769400642
7,14,14,ITDA,Trentino Alto Adige / Südtirol,2148068,2018,6_WEEK_RELIG,238,11.079723733140664,Trentino Alto Adige / Südtirol,1.3829839222010458,0.1653390672596067,0.2508592744628516,1.7991822639235042,2018,7,Trentino Alto Adige / Südtirol,1089510,2018,18-24,2148068,8.0,4.057636909073642
8,16,16,ITE1,Toscana,7402686,2018,6_WEEK_RELIG,658,8.888665546532705,Toscana,1.2165279602861732,0.1752080595707402,0.3673528982333187,1.759088918090232,2018,8,Toscana,3826624,2018,18-24,7402686,9.8,5.065852475709493
9,18,18,ITE2,Umbria,1747488,2018,6_WEEK_RELIG,177,10.1288249189694,Umbria,1.227517875881592,0.1098177026136613,0.3099299607096664,1.6472655392049198,2018,9,Umbria,904586,2018,18-24,1747488,7.1,3.6753102739475176
10,21,21,ITE3,Marche,3040642,2018,6_WEEK_RELIG,413,13.582657872909737,Marche,0.2869642279396249,0.0457173402354794,0.0689276822011844,0.4016092503762888,2018,10,Marche,1562466,2018,18-24,3040642,6.8,3.494251806033068
11,22,22,ITE4,Lazio,11546152,2018,6_WEEK_RELIG,1330,11.518989183582548,Lazio,1.1038979307628465,0.2053763592116924,0.3622220034041835,1.6714962933787223,2018,11,Lazio,5971072,2018,18-24,11546152,8.5,4.3957599033859935
12,24,24,ITF1,Abruzzo,2601290,2018,6_WEEK_RELIG,326,12.532243617589735,Abruzzo,1.1951944513252415,0.1788147138964577,0.2569977706217488,1.631006935843448,2018,12,Abruzzo,1331168,2018,18-24,2601290,6.9,3.530963175962696
13,26,26,ITF2,Molise,607580,2018,6_WEEK_RELIG,80,13.166990355179564,Molise,0.9154929577464788,0.147247119078105,0.2848911651728553,1.3476312419974392,2018,13,Molise,308058,2018,18-24,607580,8.0,4.056196714835907
14,28,28,ITF3,Campania,11480582,2018,6_WEEK_RELIG,1643,14.311121160930693,Campania,1.55175047563499,0.0052771181380105,0.2262217222847144,1.783249316057715,2018,14,Campania,5881466,2018,18-24,11480582,18.7,9.579951103524197
15,31,31,ITF4,Puglia,7951056,2018,6_WEEK_RELIG,1179,14.828219044111876,Puglia,1.352222636461326,0.2263207526480843,0.3600956161319327,1.938639005241343,2018,15,Puglia,4082368,2018,18-24,7951056,13.0,6.674683714968175
16,32,32,ITF5,Basilicata,1117174,2018,6_WEEK_RELIG,151,13.516247245281397,Basilicata,0.9804246298565796,0.1805173727269716,0.1755490046702659,1.3364910072538174,2018,16,Basilicata,567780,2018,18-24,1117174,8.0,4.065830389894502
17,35,35,ITF6,Calabria,3824042,2018,6_WEEK_RELIG,599,15.664053898989604,Calabria,1.394291018797865,0.2093293107449524,0.2000464144813181,1.803666744024136,2018,17,Calabria,1948176,2018,18-24,3824042,14.7,7.488983436897397
18,37,37,ITG1,Sicilia,9817096,2018,6_WEEK_RELIG,1409,14.352513207571771,Sicilia,1.952341938745272,0.2477033834783063,0.2466574860111213,2.4467028082346998,2018,18,Sicilia,5041790,2018,18-24,9817096,20.7,10.630949620946968
19,38,38,ITG2,Sardegna,13061610,2018,6_WEEK_RELIG,366,2.802104794125686,Sardegna,1.0691915900900302,0.1895022407808822,0.2579890155192361,1.5166828463901485,2018,19,Sardegna,6691600,2018,18-24,13061610,16.5,8.453123313282207
