,Unnamed: 0,Region code,Region,Population,Time,TIPO_DATO_AVQ,Value,Percentage
0,0,ITC1,Piemonte,4349911,2017,6_NEVER_RELIG,1105,25.402818586403264
1,1,ITC1,Piemonte,4349911,2017,6_WEEK_RELIG,1007,23.149898928966596
2,2,ITC2,Valle D'Aosta/Vallée D'Aoste,126213,2017,6_NEVER_RELIG,37,29.31552217283481
3,3,ITC2,Valle D'Aosta/Vallée D'Aoste,126213,2017,6_WEEK_RELIG,22,17.430851021685562
4,4,ITC3,Liguria,1541541,2017,6_WEEK_RELIG,252,16.347278470050423
5,5,ITC3,Liguria,1541541,2017,6_NEVER_RELIG,536,34.77040182518662
6,6,ITC4,Lombardia,9986962,2017,6_WEEK_RELIG,2539,25.42314669866572
7,7,ITC4,Lombardia,9986962,2017,6_NEVER_RELIG,2586,25.893760284659137
8,8,ITD3,Veneto,4880936,2017,6_WEEK_RELIG,1302,26.675211475831684
9,9,ITD3,Veneto,4880936,2017,6_NEVER_RELIG,964,19.75031018640687
10,10,ITD4,Friuli-Venezia Giulia,1211155,2017,6_NEVER_RELIG,353,29.145732792252023
11,11,ITD4,Friuli-Venezia Giulia,1211155,2017,6_WEEK_RELIG,243,20.063493111946865
12,12,ITD5,Emilia-Romagna,4445920,2017,6_NEVER_RELIG,1520,34.188649368409685
13,13,ITD5,Emilia-Romagna,4445920,2017,6_WEEK_RELIG,834,18.75877208766689
14,14,ITDA,Trentino-Alto Adige/Südtirol,1068738,2017,6_WEEK_RELIG,267,24.98273664827114
15,15,ITDA,Trentino-Alto Adige/Südtirol,1068738,2017,6_NEVER_RELIG,214,20.02361663943829
16,16,ITE1,Toscana,3712048,2017,6_WEEK_RELIG,682,18.372607250768308
17,17,ITE1,Toscana,3712048,2017,6_NEVER_RELIG,1255,33.808830058232004
18,18,ITE2,Umbria,876477,2017,6_WEEK_RELIG,177,20.19448314102937
19,19,ITE2,Umbria,876477,2017,6_NEVER_RELIG,208,23.73137001883677
20,20,ITE3,Marche,1526331,2017,6_NEVER_RELIG,318,20.83427513429263
21,21,ITE3,Marche,1526331,2017,6_WEEK_RELIG,404,26.468701742937803
22,22,ITE4,Lazio,5774606,2017,6_WEEK_RELIG,1383,23.94968591796566
23,23,ITE4,Lazio,5774606,2017,6_NEVER_RELIG,1485,25.716040193911063
24,24,ITF1,Abruzzo,1306059,2017,6_WEEK_RELIG,310,23.735528027447454
25,25,ITF1,Abruzzo,1306059,2017,6_NEVER_RELIG,218,16.6914358386566
26,26,ITF2,Molise,306564,2017,6_WEEK_RELIG,90,29.35765451912162
27,27,ITF2,Molise,306564,2017,6_NEVER_RELIG,51,16.63600422750225
28,28,ITF3,Campania,5762889,2017,6_WEEK_RELIG,1742,30.22789437728195
29,29,ITF3,Campania,5762889,2017,6_NEVER_RELIG,780,13.534878079379975
30,30,ITF4,Puglia,4000966,2017,6_NEVER_RELIG,624,15.59623350960743
31,31,ITF4,Puglia,4000966,2017,6_WEEK_RELIG,1318,32.942044496254155
32,32,ITF5,Basilicata,562968,2017,6_WEEK_RELIG,164,29.13131829873101
33,33,ITF5,Basilicata,562968,2017,6_NEVER_RELIG,80,14.210399170112687
34,34,ITF6,Calabria,1924257,2017,6_NEVER_RELIG,263,13.667613005955026
35,35,ITF6,Calabria,1924257,2017,6_WEEK_RELIG,622,32.32416459963508
36,36,ITG1,Sicilia,4942188,2017,6_NEVER_RELIG,821,16.612075461313896
37,37,ITG1,Sicilia,4942188,2017,6_WEEK_RELIG,1492,30.18905796380065
38,38,ITG2,Sardegna,1631040,2017,6_WEEK_RELIG,382,23.420639591916814
39,39,ITG2,Sardegna,1631040,2017,6_NEVER_RELIG,398,24.40160878948401
