,Unnamed: 0.1,Unnamed: 0_x,Region code,Region_x,Population,Time_x,TIPO_DATO_AVQ,Value_x,Percentage,Region_y,Live_births,Miscarriages,Abortions,Total,Time_y,Unnamed: 0_y,Region,Population_GENERAL,Time,Age range_GENERAL,Gender,Population_FEMALE,Value_y,Female Early Leavers
0,1,1,ITC1,Piemonte,8622434,2019,6_WEEK_RELIG,870,10.089958357466116,Piemonte,1.3250509541437028,0.0751543217383267,0.4061738424045491,1.8063791182865787,2019,0,Piemonte,8622434,2019,18-24,Females,8622434,10.3,10.3
1,3,3,ITC2,Valle d'Aosta / Vallée d'Aoste,250068,2019,6_WEEK_RELIG,25,9.997280739638818,Valle d'Aosta / Vallée d'Aoste,1.1414790996784565,0.0723472668810289,0.3697749196141479,1.5836012861736335,2019,1,Valle d'Aosta / Vallée d'Aoste,250068,2019,18-24,Females,250068,9.7,9.7
2,4,4,ITC3,Liguria,3049652,2019,6_WEEK_RELIG,241,7.902541011236692,Liguria,1.3052778626620685,0.0669373262903624,0.4831128767043552,1.855328065656786,2019,2,Liguria,3049652,2019,18-24,Females,3049652,6.6,6.6
3,6,6,ITC4,Lombardia,20055204,2019,6_WEEK_RELIG,2594,12.93429874859413,Lombardia,1.3391560969983336,0.0595600313411049,0.3361810784044673,1.7348972067439057,2019,3,Lombardia,20055204,2019,18-24,Females,20055204,10.1,10.1
4,8,8,ITD3,Veneto,9758266,2019,6_WEEK_RELIG,1129,11.569678465415883,Veneto,1.1931095115557393,0.0576080803863555,0.2240091209448528,1.4747267128869477,2019,4,Veneto,9758266,2019,18-24,Females,9758266,7.6,7.6
5,11,11,ITD4,Friuli-Venezia Giulia,2412432,2019,6_WEEK_RELIG,219,9.077976083885472,Friuli-Venezia Giulia,1.201088318476354,0.0671249060251315,0.3069845702216017,1.5751977947230873,2019,5,Friuli-Venezia Giulia,2412432,2019,18-24,Females,2412432,7.4,7.4
6,13,13,ITD5,Emilia-Romagna,8928238,2019,6_WEEK_RELIG,797,8.926733359930592,Emilia-Romagna,1.4232922149511926,0.0553607676693116,0.3889448805484974,1.8675978631690016,2019,6,Emilia-Romagna,8928238,2019,18-24,Females,8928238,8.5,8.5
7,14,14,ITDA,Trentino Alto Adige / Südtirol,2156138,2019,6_WEEK_RELIG,220,10.203428537505484,Trentino Alto Adige / Südtirol,1.439035457315097,0.0405133856226097,0.2641472742594153,1.743696117197122,2019,7,Trentino Alto Adige / Südtirol,2156138,2019,18-24,Females,2156138,7.8,7.799999999999999
8,16,16,ITE1,Toscana,7385110,2019,6_WEEK_RELIG,602,8.151537350154568,Toscana,1.2709215917772068,0.0639512003148366,0.3790772507350047,1.7139500428270482,2019,8,Toscana,7385110,2019,18-24,Females,7385110,8.2,8.2
9,18,18,ITE2,Umbria,1740330,2019,6_WEEK_RELIG,168,9.65334160762614,Umbria,1.286549707602339,0.0499512670565302,0.3350389863547758,1.6715399610136452,2019,9,Umbria,1740330,2019,18-24,Females,1740330,8.4,8.4
10,21,21,ITE3,Marche,3025344,2019,6_WEEK_RELIG,407,13.453015590954283,Marche,1.2480056248140836,0.0649017009654128,0.2589307444765948,1.5718380702560912,2019,10,Marche,3025344,2019,18-24,Females,3025344,5.6,5.6
11,22,22,ITE4,Lazio,11511400,2019,6_WEEK_RELIG,1152,10.007470854978544,Lazio,1.192174265236762,0.0774825224082976,0.3854755489812809,1.6551323366263406,2019,11,Lazio,11511400,2019,18-24,Females,11511400,10.2,10.2
12,24,24,ITF1,Abruzzo,2587882,2019,6_WEEK_RELIG,287,11.09015016913445,Abruzzo,1.3318691662091144,0.0478468899521531,0.2886500902031532,1.6683661463644208,2019,12,Abruzzo,2587882,2019,18-24,Females,2587882,4.2,4.2
13,26,26,ITF2,Molise,601032,2019,6_WEEK_RELIG,83,13.809580854264,Molise,1.2140406439693852,0.0659804697809448,0.3365003958828186,1.616521509633149,2019,13,Molise,601032,2019,18-24,Females,601032,7.0,7.0
14,28,28,ITF3,Campania,11424286,2019,6_WEEK_RELIG,1802,15.773414636153191,Campania,1.7208833191522932,0.0431066057351507,0.2445525083536657,2.008542433241109,2019,14,Campania,11424286,2019,18-24,Females,11424286,15.7,15.7
15,31,31,ITF4,Puglia,7906610,2019,6_WEEK_RELIG,1180,14.924221632279826,Puglia,1.4466722980482818,0.0933623794069266,0.3987907348953007,1.938825412350509,2019,15,Puglia,7906610,2019,18-24,Females,7906610,14.4,14.4
16,32,32,ITF5,Basilicata,1106508,2019,6_WEEK_RELIG,146,13.19466284925188,Basilicata,1.00670011110737,0.0707046900777751,0.2087471802296219,1.2861519814147673,2019,16,Basilicata,1106508,2019,18-24,Females,1106508,8.6,8.6
17,35,35,ITF6,Calabria,3788220,2019,6_WEEK_RELIG,588,15.521801796094207,Calabria,1.6378932942497668,0.0732816871918838,0.2136589451243885,1.9248339265660392,2019,17,Calabria,3788220,2019,18-24,Females,3788220,16.6,16.6
18,37,37,ITG1,Sicilia,9750580,2019,6_WEEK_RELIG,1498,15.363188651341764,Sicilia,2.1166598517306974,0.0983128588952692,0.2764493590997173,2.491422069725684,2019,18,Sicilia,9750580,2019,18-24,Females,9750580,20.1,20.1
19,38,38,ITG2,Sardegna,3223242,2019,6_WEEK_RELIG,346,10.734533739632331,Sardegna,1.1719120456300551,0.054192464537806,0.3461543672352359,1.572258877403097,2019,19,Sardegna,3223242,2019,18-24,Females,3223242,13.1,13.099999999999998
