,Unnamed: 0,ITTER107,Region,Population,Time,TIPO_DATO_AVQ,Value,Percentage
1,1,ITC1,Piemonte,8657130,2018,6_WEEK_RELIG,797,9.206284299762162
3,3,ITC2,Valle d'Aosta / Vallée d'Aoste,251306,2018,6_WEEK_RELIG,20,7.958425186824031
4,4,ITC3,Liguria,3065960,2018,6_WEEK_RELIG,282,9.1977716604261
6,6,ITC4,Lombardia,20021666,2018,6_WEEK_RELIG,2371,11.842171375748652
8,8,ITD3,Veneto,9769180,2018,6_WEEK_RELIG,1155,11.82289608749148
11,11,ITD4,Friuli-Venezia Giulia,2420828,2018,6_WEEK_RELIG,237,9.79003878011986
13,13,ITD5,Emilia-Romagna,8918906,2018,6_WEEK_RELIG,836,9.373346910484312
14,14,ITDA,Trentino Alto Adige / Südtirol,2148068,2018,6_WEEK_RELIG,238,11.079723733140664
16,16,ITE1,Toscana,7402686,2018,6_WEEK_RELIG,658,8.888665546532705
18,18,ITE2,Umbria,1747488,2018,6_WEEK_RELIG,177,10.1288249189694
21,21,ITE3,Marche,3040642,2018,6_WEEK_RELIG,413,13.582657872909737
22,22,ITE4,Lazio,11546152,2018,6_WEEK_RELIG,1330,11.518989183582548
24,24,ITF1,Abruzzo,2601290,2018,6_WEEK_RELIG,326,12.532243617589735
26,26,ITF2,Molise,607580,2018,6_WEEK_RELIG,80,13.166990355179564
28,28,ITF3,Campania,11480582,2018,6_WEEK_RELIG,1643,14.311121160930693
31,31,ITF4,Puglia,7951056,2018,6_WEEK_RELIG,1179,14.828219044111876
32,32,ITF5,Basilicata,1117174,2018,6_WEEK_RELIG,151,13.516247245281397
35,35,ITF6,Calabria,3824042,2018,6_WEEK_RELIG,599,15.664053898989604
37,37,ITG1,Sicilia,9817096,2018,6_WEEK_RELIG,1409,14.352513207571771
38,38,ITG2,Sardegna,13061610,2018,6_WEEK_RELIG,366,2.802104794125686
