,ITTER107,Region,Population,Time,Religious_observation,Live_births,Miscarriages,Abortions,Total_Pregnancies,Female Early Leavers
0,ITC1,Piemonte,8657130.0,2018.0,-0.7085262808619783,1.235494880546075,0.1238420282788883,0.3890784982935154,0.26771815196555204,0.11428887455400004
1,ITC2,Valle d'Aosta / Vallée d'Aoste,251306.0,2018.0,-1.1352599308723592,1.16580310880829,0.1214378238341968,0.2509715025906736,-0.3060907302159432,0.6417759878801519
2,ITC3,Liguria,3065960.0,2018.0,-0.7114373704372638,1.3114466804918656,0.0226363291176212,0.4366620907205654,0.3286734095733241,0.39059164820103187
3,ITC4,Lombardia,20021666.0,2018.0,0.1928749280473116,1.2565525127024133,0.0772008793049303,0.3264177986778217,0.026830429320950616,-0.2876060689325918
4,ITD3,Veneto,9769180.0,2018.0,0.18628330722433428,1.1747187293183323,0.1706994237381156,0.2306258171780923,-0.20281878017807636,-0.111777031157208
5,ITD4,Friuli-Venezia Giulia,2420828.0,2018.0,-0.5088982318858242,1.1923932907521668,0.2153183635804368,0.2922177791448785,0.13536187704285182,-1.0411590879699517
6,ITD5,Emilia-Romagna,8918906.0,2018.0,-0.6513954422003376,1.3786019094980488,0.1701651730212598,0.381851608288892,0.765093910291353,-0.4885535406758879
7,ITDA,Trentino Alto Adige / Südtirol,2148068.0,2018.0,-0.06786128976644466,1.3829839222010458,0.1653390672596067,0.2508592744628516,0.40630074713006076,-0.7648563143229198
8,ITE1,Toscana,7402686.0,2018.0,-0.8171431980059514,1.2165279602861732,0.1752080595707402,0.3673528982333187,0.2968545402131696,-0.31272450290050324
9,ITE2,Umbria,1747488.0,2018.0,-0.39304264842673536,1.227517875881592,0.1098177026136613,0.3099299607096664,-0.008399222207210484,-0.9909222200341278
10,ITE3,Marche,3040642.0,2018.0,0.7880736552325949,0.2869642279396249,0.0457173402354794,0.0689276822011844,-3.4087728528191827,-1.066277521937864
11,ITE4,Lazio,11546152.0,2018.0,0.08235546711499733,1.1038979307628465,0.2053763592116924,0.3622220034041835,0.057745522760856816,-0.6392641444833598
12,ITF1,Abruzzo,2601290.0,2018.0,0.4288607404507122,1.1951944513252415,0.1788147138964577,0.2569977706217488,-0.05278171088947457,-1.0411590879699517
13,ITF2,Molise,607580.0,2018.0,0.645926745222774,0.9154929577464788,0.147247119078105,0.2848911651728553,-0.8263363788600891,-0.7648563143229198
14,ITF3,Campania,11480582.0,2018.0,1.0371881542755317,1.55175047563499,0.0052771181380105,0.2262217222847144,0.36280722787709574,1.9228161202436636
15,ITF4,Puglia,7951056.0,2018.0,1.2140214720873383,1.352222636461326,0.2263207526480843,0.3600956161319327,0.7869876428982173,0.49106538407267997
16,ITF5,Basilicata,1117174.0,2018.0,0.7653630389190312,0.9804246298565796,0.1805173727269716,0.1755490046702659,-0.8567468225761969,-0.7648563143229198
17,ITF6,Calabria,3824042.0,2018.0,1.4998541071418328,1.394291018797865,0.2093293107449524,0.2000464144813181,0.41854241284310606,0.9180787615271837
18,ITG1,Sicilia,9817096.0,2018.0,1.0513431009048497,1.952341938745272,0.2477033834783063,0.2466574860111213,2.1738925008920895,2.4251847996019036
19,ITG2,Sardegna,13061610.0,2018.0,-2.898580324164403,1.0691915900900302,0.1895022407808822,0.2579890155192361,-0.36486187506243833,1.3702105729495997
