,Unnamed: 0.1,Unnamed: 0_x,Region code,Region_x,Population,Time_x,TIPO_DATO_AVQ,Value_x,Percentage,Region_y,Live_births,Miscarriages,Abortions,Total,Time_y,Unnamed: 0_y,Region,Population_GENERAL,Time,Age range_GENERAL,Gender,Population_FEMALE,Value_y,Female Early Leavers
0,1,1,ITC1,Piemonte,4349911,2017,6_WEEK_RELIG,1007,23.1498989289666,Piemonte,2.657262843680953,0.1507147978519483,0.8145427586173258,3.622520400150227,2017,0,Piemonte,2238438,2017,18-24,Females,4349911,7.6,14.76892529522819
1,3,3,ITC2,Valle D'Aosta / Vallée D'Aoste,126213,2017,6_WEEK_RELIG,22,17.430851021685562,Valle d'Aosta / Vallée d'Aoste,2.3089430894308944,0.1463414634146341,0.7479674796747967,3.203252032520325,2017,1,Valle D'Aosta / Vallée D'Aoste,64461,2017,18-24,Females,126213,11.8,23.10410015358124
2,4,4,ITC3,Liguria,1541541,2017,6_WEEK_RELIG,252,16.347278470050423,Liguria,2.6097582264118007,0.1338337552006051,0.9659305810130632,3.709522562625469,2017,2,Liguria,805080,2017,18-24,Females,1541541,13.5,25.849360933074973
3,6,6,ITC4,Lombardia,9986962,2017,6_WEEK_RELIG,2539,25.42314669866572,Lombardia,2.7331708475305474,0.1215599448820016,0.6861338458197788,3.5408646382323274,2017,3,Lombardia,5103493,2017,18-24,Females,9986962,8.2,16.046478049445742
4,8,8,ITD3,Veneto,4880936,2017,6_WEEK_RELIG,1302,26.675211475831684,Veneto,2.409824168784993,0.1163559112451704,0.4524501635874919,2.9786302436176557,2017,4,Veneto,2496636,2017,18-24,Females,4880936,10.7,20.91855408637863
5,11,11,ITD4,Friuli-Venezia Giulia,1211155,2017,6_WEEK_RELIG,243,20.063493111946865,Friuli-Venezia Giulia,2.431511813306276,0.1358892593129439,0.6214668792578635,3.1888679518770835,2017,5,Friuli-Venezia Giulia,623608,2017,18-24,Females,1211155,7.3,14.177867346153352
6,13,13,ITD5,Emilia-Romagna,4445920,2017,6_WEEK_RELIG,834,18.75877208766689,Emilia-Romagna,2.9121325949734733,0.1132711148975719,0.7958021918444798,3.821205901715525,2017,6,Emilia-Romagna,2286741,2017,18-24,Females,4445920,8.7,16.91468513487098
7,14,14,ITDA,Trentino Alto Adige / Südtirol,1068738,2017,6_WEEK_RELIG,267,24.98273664827114,Trentino Alto Adige / Südtirol,2.891472110970011,0.0814040571782097,0.5307544528019277,3.503630620950148,2017,7,Trentino Alto Adige / Südtirol,542628,2017,18-24,Females,1068738,9.1,17.922989230190847
8,16,16,ITE1,Toscana,3712048,2017,6_WEEK_RELIG,682,18.372607250768308,Toscana,2.566289981418939,0.1291325332180294,0.7654462376272335,3.4608687522642017,2017,8,Toscana,1920572,2017,18-24,Females,3712048,8.6,16.621929716771877
9,18,18,ITE2,Umbria,876477,2017,6_WEEK_RELIG,177,20.19448314102937,Umbria,2.557643867467545,0.0993024607634179,0.6660530904863399,3.322999418717303,2017,9,Umbria,454480,2017,18-24,Females,876477,8.5,16.392480417180074
10,21,21,ITE3,Marche,1526331,2017,6_WEEK_RELIG,404,26.468701742937803,Marche,2.472674667809687,0.1285897985426489,0.5130197171024432,3.1142841834547794,2017,10,Marche,785202,2017,18-24,Females,1526331,5.0,9.719352472357432
11,22,22,ITE4,Lazio,5774606,2017,6_WEEK_RELIG,1383,23.94968591796566,Lazio,2.3724833978728253,0.1541938988277759,0.7671146466681853,3.2937919433687863,2017,11,Lazio,2988655,2017,18-24,Females,5774606,8.4,16.230274287263
12,24,24,ITF1,Abruzzo,1306059,2017,6_WEEK_RELIG,310,23.73552802744745,Abruzzo,2.580311825669392,0.0926967145852961,0.5592195240555572,3.232228064310245,2017,12,Abruzzo,669327,2017,18-24,Females,1306059,7.7,15.025024091363417
13,26,26,ITF2,Molise,306564,2017,6_WEEK_RELIG,90,29.35765451912162,Molise,2.2908366533864544,0.1245019920318725,0.6349601593625498,3.0502988047808763,2017,13,Molise,155333,2017,18-24,Females,306564,9.9,19.53856295828961
14,28,28,ITF3,Campania,5762889,2017,6_WEEK_RELIG,1742,30.22789437728195,Campania,3.3338063685089567,0.083508902158132,0.4737629220474418,3.8910781927145295,2017,14,Campania,2954012,2017,18-24,Females,5762889,17.7,34.53037269313733
15,31,31,ITF4,Puglia,4000966,2017,6_WEEK_RELIG,1318,32.942044496254155,Puglia,2.8004285843377383,0.180728335190819,0.771968174600784,3.753125094129341,2017,15,Puglia,2056346,2017,18-24,Females,4000966,13.6,26.4610807714266
16,32,32,ITF5,Basilicata,562968,2017,6_WEEK_RELIG,164,29.13131829873101,Basilicata,1.927664238282509,0.1353877893108117,0.3997163303462059,2.462768357939527,2017,16,Basilicata,286113,2017,18-24,Females,562968,11.5,22.627884786780047
17,35,35,ITF6,Calabria,1924257,2017,6_WEEK_RELIG,622,32.32416459963508,Calabria,3.106329982130932,0.1389816435933072,0.4052127141129542,3.650524339837193,2017,17,Calabria,981187,2017,18-24,Females,1924257,10.4,20.395982417215063
18,37,37,ITG1,Sicilia,4942188,2017,6_WEEK_RELIG,1492,30.18905796380065,Sicilia,4.053409957511712,0.188269419326724,0.5294013509096851,4.771080727748121,2017,18,Sicilia,2539317,2017,18-24,Females,4942188,17.4,33.86503977250575
19,38,38,ITG2,Sardegna,1631040,2017,6_WEEK_RELIG,382,23.420639591916814,Sardegna,2.258308748661985,0.1044304623658721,0.6670495783620082,3.029788789389865,2017,19,Sardegna,829671,2017,18-24,Females,1631040,15.6,30.667847857765302
